"Posição","Nome","Localidade","2017-2018","Unidade","Multiplicador"
"4.1.5.3","Carnes bovinas outras","Sergipe","8.568","kg/ano per capita",1
"4.1.5.3","Carnes bovinas outras","Bahia","5.329","kg/ano per capita",1
"4.1.5.3","Carnes bovinas outras","Minas Gerais","3.563","kg/ano per capita",1
"4.1.5.3","Carnes bovinas outras","Espírito Santo","1.754","kg/ano per capita",1
"4.1.5.3","Carnes bovinas outras","Rio de Janeiro","2.357","kg/ano per capita",1
"4.1.5.3","Carnes bovinas outras","São Paulo","2.104","kg/ano per capita",1
"4.1.5.3","Carnes bovinas outras","Paraná","2.382","kg/ano per capita",1
"4.1.5.3","Carnes bovinas outras","Santa Catarina","3.130","kg/ano per capita",1
"4.1.5.3","Carnes bovinas outras","Rio Grande do Sul","2.644","kg/ano per capita",1
"4.1.5.3","Carnes bovinas outras","Mato Grosso do Sul","5.661","kg/ano per capita",1
"4.1.5.3","Carnes bovinas outras","Mato Grosso","3.865","kg/ano per capita",1
"4.1.5.3","Carnes bovinas outras","Goiás","3.500","kg/ano per capita",1
"4.1.5.3","Carnes bovinas outras","Distrito Federal","2.906","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Rondônia","1.565","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Acre","1.424","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Amazonas","0.704","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Roraima","0.432","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Pará","1.105","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Amapá","2.306","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Tocantins","0.985","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Maranhão","2.474","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Piauí","4.081","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Ceará","2.520","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Rio Grande do Norte","1.256","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Paraíba","1.716","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Pernambuco","0.611","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Alagoas","1.171","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Sergipe","1.168","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Bahia","1.537","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Minas Gerais","4.384","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Espírito Santo","2.538","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Rio de Janeiro","1.620","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","São Paulo","2.030","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Paraná","4.356","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Santa Catarina","3.953","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Rio Grande do Sul","3.102","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Mato Grosso do Sul","2.177","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Mato Grosso","4.063","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Goiás","3.563","kg/ano per capita",1
"4.1.5.4","Carnes suínas com osso e sem osso","Distrito Federal","2.096","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Rondônia","1.764","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Acre","1.274","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Amazonas","1.829","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Roraima","1.121","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Pará","1.541","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Amapá","2.997","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Tocantins","0.641","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Maranhão","0.872","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Piauí","0.893","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Ceará","1.596","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Rio Grande do Norte","2.993","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Paraíba","1.773","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Pernambuco","2.401","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Alagoas","2.589","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Sergipe","1.901","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Bahia","1.823","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Minas Gerais","2.655","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Espírito Santo","2.155","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Rio de Janeiro","2.453","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","São Paulo","2.892","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Paraná","2.945","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Santa Catarina","4.064","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Rio Grande do Sul","4.202","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Mato Grosso do Sul","2.439","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Mato Grosso","1.788","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Goiás","1.685","kg/ano per capita",1
"4.1.5.5","Carnes suínas outras","Distrito Federal","1.821","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Rondônia","1.409","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Acre","5.574","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Amazonas","2.652","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Roraima","1.693","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Pará","2.255","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Amapá","3.809","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Tocantins","1.009","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Maranhão","1.331","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Piauí","4.592","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Ceará","1.931","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Rio Grande do Norte","2.981","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Paraíba","2.119","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Pernambuco","1.460","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Alagoas","1.132","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Sergipe","1.634","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Bahia","2.418","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Minas Gerais","2.576","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Espírito Santo","2.838","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Rio de Janeiro","2.082","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","São Paulo","3.303","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Paraná","3.134","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Santa Catarina","2.702","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Rio Grande do Sul","2.137","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Mato Grosso do Sul","2.557","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Mato Grosso","2.297","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Goiás","2.206","kg/ano per capita",1
"4.1.5.6","Carnes de outros animais","Distrito Federal","1.959","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Rondônia","30.856","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Acre","29.392","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Amazonas","17.211","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Roraima","37.779","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Pará","27.170","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Amapá","27.908","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Tocantins","37.050","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Maranhão","60.644","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Piauí","52.584","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Ceará","32.600","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Rio Grande do Norte","25.154","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Paraíba","23.684","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Pernambuco","23.164","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Alagoas","23.734","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Sergipe","20.863","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Bahia","26.219","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Minas Gerais","30.760","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Espírito Santo","20.677","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Rio de Janeiro","27.731","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","São Paulo","24.082","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Paraná","23.114","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Santa Catarina","20.896","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Rio Grande do Sul","22.477","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Mato Grosso do Sul","32.400","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Mato Grosso","29.769","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Goiás","39.917","kg/ano per capita",1
"4.1.6","Cereais e leguminosas","Distrito Federal","19.296","kg/ano per capita",1
"4.1.6.1","Cereais","Rondônia","25.521","kg/ano per capita",1
"4.1.6.1","Cereais","Acre","24.761","kg/ano per capita",1
"4.1.6.1","Cereais","Amazonas","12.850","kg/ano per capita",1
"4.1.6.1","Cereais","Roraima","29.206","kg/ano per capita",1
"4.1.6.1","Cereais","Pará","21.577","kg/ano per capita",1
"4.1.6.1","Cereais","Amapá","19.950","kg/ano per capita",1
"4.1.6.1","Cereais","Tocantins","32.910","kg/ano per capita",1
"4.1.6.1","Cereais","Maranhão","54.599","kg/ano per capita",1
"4.1.6.1","Cereais","Piauí","45.301","kg/ano per capita",1
"4.1.6.1","Cereais","Ceará","24.990","kg/ano per capita",1
"4.1.6.1","Cereais","Rio Grande do Norte","14.510","kg/ano per capita",1
"4.1.6.1","Cereais","Paraíba","14.835","kg/ano per capita",1
"4.1.6.1","Cereais","Pernambuco","14.809","kg/ano per capita",1
"4.1.6.1","Cereais","Alagoas","15.864","kg/ano per capita",1
"4.1.6.1","Cereais","Sergipe","13.192","kg/ano per capita",1
"4.1.6.1","Cereais","Bahia","15.977","kg/ano per capita",1
"4.1.6.1","Cereais","Minas Gerais","23.979","kg/ano per capita",1
"4.1.6.1","Cereais","Espírito Santo","16.039","kg/ano per capita",1
"4.1.6.1","Cereais","Rio de Janeiro","19.993","kg/ano per capita",1
"4.1.6.1","Cereais","São Paulo","18.540","kg/ano per capita",1
"4.1.6.1","Cereais","Paraná","17.881","kg/ano per capita",1
"4.1.6.1","Cereais","Santa Catarina","16.568","kg/ano per capita",1
"4.1.6.1","Cereais","Rio Grande do Sul","17.773","kg/ano per capita",1
"4.1.6.1","Cereais","Mato Grosso do Sul","27.010","kg/ano per capita",1
"4.1.6.1","Cereais","Mato Grosso","23.955","kg/ano per capita",1
"4.1.6.1","Cereais","Goiás","32.832","kg/ano per capita",1
"4.1.6.1","Cereais","Distrito Federal","14.841","kg/ano per capita",1
"4.1.6.2","Leguminosas","Rondônia","5.335","kg/ano per capita",1
"4.1.6.2","Leguminosas","Acre","4.631","kg/ano per capita",1
"4.1.6.2","Leguminosas","Amazonas","4.361","kg/ano per capita",1
"4.1.6.2","Leguminosas","Roraima","8.572","kg/ano per capita",1
"4.1.6.2","Leguminosas","Pará","5.593","kg/ano per capita",1
"4.1.6.2","Leguminosas","Amapá","7.958","kg/ano per capita",1
"4.1.6.2","Leguminosas","Tocantins","4.140","kg/ano per capita",1
"4.1.6.2","Leguminosas","Maranhão","6.045","kg/ano per capita",1
"4.1.6.2","Leguminosas","Piauí","7.283","kg/ano per capita",1
"4.1.6.2","Leguminosas","Ceará","7.610","kg/ano per capita",1
"4.1.6.2","Leguminosas","Rio Grande do Norte","10.644","kg/ano per capita",1
"4.1.6.2","Leguminosas","Paraíba","8.849","kg/ano per capita",1
"4.1.6.2","Leguminosas","Pernambuco","8.355","kg/ano per capita",1
"4.1.6.2","Leguminosas","Alagoas","7.870","kg/ano per capita",1
"4.1.6.2","Leguminosas","Sergipe","7.670","kg/ano per capita",1
"4.1.6.2","Leguminosas","Bahia","10.242","kg/ano per capita",1
"4.1.6.2","Leguminosas","Minas Gerais","6.781","kg/ano per capita",1
"4.1.6.2","Leguminosas","Espírito Santo","4.639","kg/ano per capita",1
"4.1.6.2","Leguminosas","Rio de Janeiro","7.739","kg/ano per capita",1
"4.1.6.2","Leguminosas","São Paulo","5.542","kg/ano per capita",1
"4.1.6.2","Leguminosas","Paraná","5.233","kg/ano per capita",1
"4.1.6.2","Leguminosas","Santa Catarina","4.328","kg/ano per capita",1
"4.1.6.2","Leguminosas","Rio Grande do Sul","4.704","kg/ano per capita",1
"4.1.6.2","Leguminosas","Mato Grosso do Sul","5.390","kg/ano per capita",1
"4.1.6.2","Leguminosas","Mato Grosso","5.814","kg/ano per capita",1
"4.1.6.2","Leguminosas","Goiás","7.086","kg/ano per capita",1
"4.1.6.2","Leguminosas","Distrito Federal","4.455","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Rondônia","0.151","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Acre","3.131","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Amazonas","1.943","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Roraima","0.502","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Pará","16.164","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Amapá","27.247","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Tocantins","0.064","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Maranhão","1.223","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Piauí","0.221","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Ceará","0.114","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Rio Grande do Norte","0.213","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Paraíba","0.163","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Pernambuco","0.360","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Alagoas","0.237","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Sergipe","0.358","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Bahia","0.331","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Minas Gerais","0.323","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Espírito Santo","0.190","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Rio de Janeiro","0.218","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","São Paulo","0.418","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Paraná","0.250","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Santa Catarina","0.927","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Rio Grande do Sul","0.323","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Mato Grosso do Sul","0.221","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Mato Grosso","0.201","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Goiás","0.228","kg/ano per capita",1
"4.1.7","Cocos, castanhas e nozes","Distrito Federal","0.746","kg/ano per capita",1
"4.1.7.1","Cocos","Rondônia","0.142","kg/ano per capita",1
"4.1.7.1","Cocos","Acre","3.127","kg/ano per capita",1
"4.1.7.1","Cocos","Amazonas","1.866","kg/ano per capita",1
"4.1.7.1","Cocos","Roraima","0.492","kg/ano per capita",1
"4.1.7.1","Cocos","Pará","16.135","kg/ano per capita",1
"4.1.7.1","Cocos","Amapá","26.812","kg/ano per capita",1
"4.1.7.1","Cocos","Tocantins","0.064","kg/ano per capita",1
"4.1.7.1","Cocos","Maranhão","1.221","kg/ano per capita",1
"4.1.7.1","Cocos","Piauí","0.210","kg/ano per capita",1
"4.1.7.1","Cocos","Ceará","0.088","kg/ano per capita",1
"4.1.7.1","Cocos","Rio Grande do Norte","0.204","kg/ano per capita",1
"4.1.7.1","Cocos","Paraíba","0.118","kg/ano per capita",1
"4.1.7.1","Cocos","Pernambuco","0.330","kg/ano per capita",1
"4.1.7.1","Cocos","Alagoas","0.222","kg/ano per capita",1
"4.1.7.1","Cocos","Sergipe","0.303","kg/ano per capita",1
"4.1.7.1","Cocos","Bahia","0.314","kg/ano per capita",1
"4.1.7.1","Cocos","Minas Gerais","0.298","kg/ano per capita",1
"4.1.7.1","Cocos","Espírito Santo","0.166","kg/ano per capita",1
"4.1.7.1","Cocos","Rio de Janeiro","0.174","kg/ano per capita",1
"4.1.7.1","Cocos","São Paulo","0.334","kg/ano per capita",1
"4.1.7.1","Cocos","Paraná","0.189","kg/ano per capita",1
"4.1.7.1","Cocos","Santa Catarina","0.259","kg/ano per capita",1
"4.1.7.1","Cocos","Rio Grande do Sul","0.095","kg/ano per capita",1
"4.1.7.1","Cocos","Mato Grosso do Sul","0.181","kg/ano per capita",1
"4.1.7.1","Cocos","Mato Grosso","0.151","kg/ano per capita",1
"4.1.7.1","Cocos","Goiás","0.199","kg/ano per capita",1
"4.1.7.1","Cocos","Distrito Federal","0.605","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Rondônia","0.009","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Acre","0.004","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Amazonas","0.076","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Roraima","0.010","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Pará","0.030","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Amapá","0.434","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Tocantins","-","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Maranhão","0.002","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Piauí","0.011","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Ceará","0.025","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Rio Grande do Norte","0.009","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Paraíba","0.045","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Pernambuco","0.029","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Alagoas","0.015","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Sergipe","0.054","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Bahia","0.017","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Minas Gerais","0.025","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Espírito Santo","0.024","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Rio de Janeiro","0.044","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","São Paulo","0.083","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Paraná","0.060","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Santa Catarina","0.668","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Rio Grande do Sul","0.228","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Mato Grosso do Sul","0.040","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Mato Grosso","0.049","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Goiás","0.029","kg/ano per capita",1
"4.1.7.2","Castanhas e nozes","Distrito Federal","0.141","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Rondônia","8.752","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Acre","13.385","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Amazonas","17.430","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Roraima","14.450","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Pará","21.987","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Amapá","26.535","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Tocantins","5.926","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Maranhão","11.807","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Piauí","16.156","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Ceará","12.259","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Rio Grande do Norte","19.998","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Paraíba","14.261","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Pernambuco","17.754","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Alagoas","14.566","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Sergipe","16.556","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Bahia","16.227","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Minas Gerais","8.653","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Espírito Santo","7.972","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Rio de Janeiro","8.413","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","São Paulo","7.935","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Paraná","12.674","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Santa Catarina","20.346","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Rio Grande do Sul","14.615","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Mato Grosso do Sul","7.951","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Mato Grosso","7.489","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Goiás","7.260","kg/ano per capita",1
"4.1.8","Farinhas, féculas e massas","Distrito Federal","8.604","kg/ano per capita",1
"4.1.8.1","Farinhas","Rondônia","4.754","kg/ano per capita",1
"4.1.8.1","Farinhas","Acre","7.702","kg/ano per capita",1
"4.1.8.1","Farinhas","Amazonas","11.428","kg/ano per capita",1
"4.1.8.1","Farinhas","Roraima","3.816","kg/ano per capita",1
"4.1.8.1","Farinhas","Pará","16.414","kg/ano per capita",1
"4.1.8.1","Farinhas","Amapá","18.763","kg/ano per capita",1
"4.1.8.1","Farinhas","Tocantins","1.701","kg/ano per capita",1
"4.1.8.1","Farinhas","Maranhão","4.887","kg/ano per capita",1
"4.1.8.1","Farinhas","Piauí","2.752","kg/ano per capita",1
"4.1.8.1","Farinhas","Ceará","2.994","kg/ano per capita",1
"4.1.8.1","Farinhas","Rio Grande do Norte","4.237","kg/ano per capita",1
"4.1.8.1","Farinhas","Paraíba","2.247","kg/ano per capita",1
"4.1.8.1","Farinhas","Pernambuco","3.730","kg/ano per capita",1
"4.1.8.1","Farinhas","Alagoas","3.300","kg/ano per capita",1
"4.1.8.1","Farinhas","Sergipe","6.006","kg/ano per capita",1
"4.1.8.1","Farinhas","Bahia","8.375","kg/ano per capita",1
"4.1.8.1","Farinhas","Minas Gerais","2.770","kg/ano per capita",1
"4.1.8.1","Farinhas","Espírito Santo","3.389","kg/ano per capita",1
"4.1.8.1","Farinhas","Rio de Janeiro","2.538","kg/ano per capita",1
"4.1.8.1","Farinhas","São Paulo","2.184","kg/ano per capita",1
"4.1.8.1","Farinhas","Paraná","5.794","kg/ano per capita",1
"4.1.8.1","Farinhas","Santa Catarina","11.839","kg/ano per capita",1
"4.1.8.1","Farinhas","Rio Grande do Sul","8.023","kg/ano per capita",1
"4.1.8.1","Farinhas","Mato Grosso do Sul","3.047","kg/ano per capita",1
"4.1.8.1","Farinhas","Mato Grosso","3.384","kg/ano per capita",1
"4.1.8.1","Farinhas","Goiás","2.327","kg/ano per capita",1
"4.1.8.1","Farinhas","Distrito Federal","1.524","kg/ano per capita",1
"4.1.8.2","Féculas","Rondônia","2.115","kg/ano per capita",1
"4.1.8.2","Féculas","Acre","3.564","kg/ano per capita",1
"4.1.8.2","Féculas","Amazonas","2.880","kg/ano per capita",1
"4.1.8.2","Féculas","Roraima","7.706","kg/ano per capita",1
"4.1.8.2","Féculas","Pará","2.905","kg/ano per capita",1
"4.1.8.2","Féculas","Amapá","3.329","kg/ano per capita",1
"4.1.8.2","Féculas","Tocantins","2.877","kg/ano per capita",1
"4.1.8.2","Féculas","Maranhão","5.167","kg/ano per capita",1
"4.1.8.2","Féculas","Piauí","11.292","kg/ano per capita",1
"4.1.8.2","Féculas","Ceará","4.793","kg/ano per capita",1
"4.1.8.2","Féculas","Rio Grande do Norte","9.995","kg/ano per capita",1
"4.1.8.2","Féculas","Paraíba","6.957","kg/ano per capita",1
"4.1.8.2","Féculas","Pernambuco","8.884","kg/ano per capita",1
"4.1.8.2","Féculas","Alagoas","7.633","kg/ano per capita",1
"4.1.8.2","Féculas","Sergipe","7.618","kg/ano per capita",1
"4.1.8.2","Féculas","Bahia","4.276","kg/ano per capita",1
"4.1.8.2","Féculas","Minas Gerais","2.263","kg/ano per capita",1
"4.1.8.2","Féculas","Espírito Santo","1.460","kg/ano per capita",1
"4.1.8.2","Féculas","Rio de Janeiro","1.686","kg/ano per capita",1
"4.1.8.2","Féculas","São Paulo","1.813","kg/ano per capita",1
"4.1.8.2","Féculas","Paraná","2.109","kg/ano per capita",1
"4.1.8.2","Féculas","Santa Catarina","2.895","kg/ano per capita",1
"4.1.8.2","Féculas","Rio Grande do Sul","1.739","kg/ano per capita",1
"4.1.8.2","Féculas","Mato Grosso do Sul","1.432","kg/ano per capita",1
"4.1.8.2","Féculas","Mato Grosso","1.435","kg/ano per capita",1
"4.1.8.2","Féculas","Goiás","1.759","kg/ano per capita",1
"4.1.8.2","Féculas","Distrito Federal","4.478","kg/ano per capita",1
"4.1.8.3","Massas","Rondônia","1.883","kg/ano per capita",1
"4.1.8.3","Massas","Acre","2.119","kg/ano per capita",1
"4.1.8.3","Massas","Amazonas","3.122","kg/ano per capita",1
"4.1.8.3","Massas","Roraima","2.928","kg/ano per capita",1
"4.1.8.3","Massas","Pará","2.668","kg/ano per capita",1
"4.1.8.3","Massas","Amapá","4.442","kg/ano per capita",1
"4.1.8.3","Massas","Tocantins","1.348","kg/ano per capita",1
"4.1.8.3","Massas","Maranhão","1.753","kg/ano per capita",1
"4.1.8.3","Massas","Piauí","2.112","kg/ano per capita",1
"4.1.8.3","Massas","Ceará","4.472","kg/ano per capita",1
"4.1.8.3","Massas","Rio Grande do Norte","5.766","kg/ano per capita",1
"4.1.8.3","Massas","Paraíba","5.057","kg/ano per capita",1
"4.1.8.3","Massas","Pernambuco","5.140","kg/ano per capita",1
"4.1.8.3","Massas","Alagoas","3.633","kg/ano per capita",1
"4.1.8.3","Massas","Sergipe","2.931","kg/ano per capita",1
"4.1.8.3","Massas","Bahia","3.577","kg/ano per capita",1
"4.1.8.3","Massas","Minas Gerais","3.620","kg/ano per capita",1
